{PERIODS};ELECTRICITY;HEAT_LOW_T_SH;MOBILITY_PASSENGER;MOBILITY_FREIGHT;PV;WIND_ONSHORE;WIND_OFFSHORE;HYDRO_DAM;HYDRO_RIVER;SOLAR
6996;0.000129;1.14E-04;0.000196;0.000114155;0.929438421;0.174428584;0;0.436747829;0.156095311;0.849004514
6997;0.000129;1.14E-04;0.000195;0.000114155;0.248663887;0.187402611;0;0.418605216;0.161851537;0.018031969
6998;0.000132;1.14E-04;0.000185;0.000114155;0.512807197;0.187402611;0;0.458217294;0.158465522;0.127052743
6999;0.000134;1.14E-04;0.000199;0.000114155;0.263445669;0.17875326;0;0.474372256;0.160835733;0.015577914
7000;0.000134;1.14E-04;0.000216;0.000114155;0.37424748;0.167220791;0;0.500930673;0.159819928;0.140332546
7001;0.00013;1.14E-04;0.000224;0.000114155;1.43E-01;0.144155855;0;0.478262979;0.377202117;0.018089422
7002;0.000127;0.000114;0.000198;0.000114155;0.038632898;0.100909098;0;0.487200367;0.619979424;0.004161224
7003;0.000145;0.000114155;1.37E-04;0.000114155;0;0.070636369;0;0.723144674;0.646051741;0
7004;0.000147142;0.000114155;9.07E-05;0.000114155;0;0.051896108;0;0.800171978;0.862418127;0
7005;0.000143503;0.000114155;6.33E-05;0.000114155;0;0.038922081;0;0.72831246;0.828896575;0
7006;0.000136;0.000114155;4.11E-05;0.000114155;0;0.030272729;0;0.632284888;0.823478949;0
7007;1.24E-04;0.000114155;2.46E-05;0.000114155;0;0.021623378;0;0.542530404;0.274605851;0
7008;1.11E-04;0.000114155;8.08E-06;0.000114155;0;0.02018182;0;0.452719532;0.147968873;0
7009;1.06E-04;0.000114155;6.77E-06;0.000114155;0;0.018740261;0;0.333178457;0.146953069;0
7010;1.02E-04;0.000114155;3.75E-06;0.000114155;0;0.02018182;0;0.267402672;0.148646076;0
7011;9.94E-05;0.000114155;2.38E-06;0.000114155;0;0.023064937;0;0.277143578;0.15135489;0
7012;9.82E-05;0.000114155;8.30E-06;0.000114155;0;0.027389612;0;0.269446711;0.179120216;0
7013;9.93E-05;0.000114155;2.49E-05;0.000114155;0;0.028831171;0;0.273732147;0.180136021;0
7014;9.79E-05;0.000114155;6.93E-05;0.000114155;0;0.030272729;0;0.272787659;0.176750004;0
7015;0.000108;0.000114155;0.000143;0.000114155;1.75E-01;0.012974027;0;0.367109514;0.178104411;0.13524387
7016;0.000114651;0.000114;0.00019;0.000114155;0.396678691;0.008649351;0;0.41929596;0.178443012;0.340046654
7017;0.000125455;0.000114;0.000168;0.000114155;0.60133374;0.011532468;0;0.493205614;0.181151825;0.534031899
7018;0.000128046;0.000114;0.000165;0.000114155;0.766658249;0.043246756;0;0.484733422;0.153386499;0.691969621
7019;0.000131709;1.14E-04;0.000179;0.000114155;0.87876506;0.070636369;0;0.463024311;0.152032092;0.799972661
